ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
pushup,pushup,-0.081176758,0.942993164,-0.36328125,1.006097561,-2.530487805,-6.12804878,1.013804241,6.705861815,-1.203076116,0.219842738
pushup,pushup,-0.180541992,0.758056641,-0.266845703,-4.451219512,-8.262195122,-28.99390244,0.823681923,30.47496681,-1.232329421,0.594833098
pushup,pushup,-0.199829102,0.737304688,-0.229248047,-3.780487805,-17.5304878,-27.43902439,0.797561621,32.77972163,-1.269345014,0.716941999
pushup,pushup,-0.203613281,0.774536133,-0.268432617,-7.865853659,-6.646341463,-33.44512195,0.844642326,34.99459517,-1.237178571,0.648935838
pushup,pushup,-0.251953125,0.892700195,-0.321533203,2.103658537,-5.487804878,-26.76829268,0.981721761,27.40589124,-1.225080964,0.664660074
pushup,pushup,-0.321899414,0.965820313,-0.384643555,-6.554878049,6.493902439,-15.88414634,1.088291677,18.36962983,-1.191794462,0.696826085
pushup,pushup,-0.334472656,1.064208984,-0.384765625,-0.884146341,-4.512195122,-2.469512195,1.180024282,5.219205883,-1.223868537,0.715586475
pushup,pushup,-0.304199219,1.040161133,-0.337036133,-2.134146341,-5.152439024,4.359756098,1.134929823,7.078819233,-1.257448343,0.734234023
pushup,pushup,-0.322021484,1.011962891,-0.323852539,0.091463415,2.225609756,3.902439024,1.110246457,4.493410139,-1.261071498,0.782563168
pushup,pushup,-0.340576172,0.995239258,-0.308105469,-1.006097561,3.75,-0.731707317,1.096094106,3.950965439,-1.270574521,0.835412873
pushup,pushup,-0.322265625,0.989379883,-0.348754883,-0.457317073,-0.396341463,1.432926829,1.097432301,1.555475734,-1.231897446,0.745942572
pushup,pushup,-0.360961914,1.082885742,-0.33972168,-1.646341463,-0.701219512,0.975609756,1.190943262,2.038127428,-1.266801424,0.815702472
pushup,pushup,-0.374145508,1.152709961,-0.354125977,-1.067073171,-0.914634146,0.030487805,1.262588739,1.40574901,-1.272736504,0.812880347
pushup,pushup,-0.338134766,1.088745117,-0.316650391,-5.518292683,-4.512195122,-6.737804878,1.183202654,9.808642797,-1.287764445,0.818197731
pushup,pushup,-0.327636719,1.004638672,-0.280761719,-3.109756098,-3.841463415,-13.99390244,1.093376341,14.84104881,-1.298283454,0.862292799
pushup,pushup,-0.354980469,0.936645508,-0.266357422,1.097560976,-1.067073171,-18.1402439,1.036466216,18.20471736,-1.293736443,0.927075172
pushup,pushup,-0.364990234,0.880859375,-0.248413086,-1.18902439,-3.079268293,-18.47560976,0.98531222,18.76815996,-1.295922692,0.973208127
pushup,pushup,-0.356445313,0.786743164,-0.241210938,2.62195122,-1.341463415,-14.90853659,0.896772426,15.19666462,-1.273300786,0.975871241
pushup,pushup,-0.356079102,0.514648438,-0.133666992,-5.579268293,0.975609756,-29.78658537,0.639939221,30.32030206,-1.316686006,1.211687578
pushup,pushup,-0.479614258,0.631713867,-0.115234375,-0.487804878,-3.841463415,-12.56097561,0.801480634,13.14431067,-1.390364724,1.335001079
pushup,pushup,-0.511352539,0.844482422,-0.189697266,2.835365854,1.798780488,17.5,1.005294501,17.81922868,-1.349832754,1.21556208
pushup,pushup,-0.497314453,0.914672852,-0.227416992,3.658536585,9.176829268,13.04878049,1.065676583,16.36672715,-1.327105554,1.141896488
pushup,pushup,-0.445922852,0.866577148,-0.230834961,2.225609756,9.573170732,11.40243902,1.001542771,15.05372221,-1.310465748,1.093123325
pushup,pushup,-0.396972656,0.877197266,-0.229858398,1.12804878,4.725609756,12.92682927,0.989897579,13.80966316,-1.314520923,1.04593995
pushup,pushup,-0.388916016,0.844604492,-0.23034668,1.25,8.932926829,8.262195122,0.957951986,12.23207055,-1.304544277,1.036073583
pushup,pushup,-0.368652344,0.723266602,-0.169433594,-1.920731707,5.426829268,9.024390244,0.829292995,10.70417234,-1.340684234,1.139985591
pushup,pushup,-0.317749023,0.6328125,-0.14831543,4.054878049,5.640243902,11.34146341,0.723473267,13.29974359,-1.340576739,1.134085044
pushup,pushup,-0.311523438,0.750976563,-0.236450195,0.518292683,9.908536585,12.74390244,0.846712079,16.15099916,-1.265765639,0.921552103
pushup,pushup,-0.331665039,0.848510742,-0.24987793,0.426829268,8.963414634,11.76829268,0.94467516,14.79924653,-1.284402211,0.925119902
pushup,pushup,-0.326904297,1.003051758,-0.310546875,6.219512195,2.43902439,9.969512195,1.0997357,12.00093102,-1.270553763,0.8110532
pushup,pushup,-0.283691406,1.027709961,-0.320068359,0.853658537,-0.762195122,3.170731707,1.113154227,3.370936644,-1.268878891,0.725220204
pushup,pushup,-0.30480957,1.096435547,-0.327880859,1.25,1.920731707,5.426829268,1.184308085,5.890856151,-1.280218177,0.748948946
pushup,pushup,-0.311401367,1.083251953,-0.297363281,1.12804878,0.213414634,3.567073171,1.165688863,3.747272457,-1.302885905,0.808454033
pushup,pushup,-0.290893555,0.998901367,-0.307861328,2.5,1.676829268,-0.853658537,1.084989216,3.128975758,-1.271833745,0.757067316
pushup,pushup,-0.3046875,0.988769531,-0.324829102,4.93902439,-0.762195122,-2.042682927,1.084441609,5.398838474,-1.253385346,0.753413728
pushup,pushup,-0.284545898,0.953125,-0.304199219,3.201219512,-0.975609756,-3.597560976,1.040168639,4.913457615,-1.26185569,0.752028841
pushup,pushup,-0.326171875,1.041259766,-0.317993164,-0.304878049,2.073170732,0.518292683,1.136542848,2.158614096,-1.274399445,0.798094089
pushup,pushup,-0.299682617,1.138549805,-0.356079102,-2.408536585,1.890243902,-3.018292683,1.229999047,4.299321017,-1.267685596,0.699607767
pushup,pushup,-0.326416016,1.092651367,-0.340454102,-3.140243902,-3.140243902,-12.13414634,1.190102273,12.92129138,-1.268744998,0.764350567
pushup,pushup,-0.317993164,1.029052734,-0.295410156,-7.195121951,-6.067073171,-17.4695122,1.116842129,19.84346273,-1.291243732,0.822197464
pushup,pushup,-0.342407227,0.957519531,-0.28112793,-7.591463415,-5.06097561,-20.67073171,1.055044679,22.59475471,-1.285221197,0.883360796
