ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
pushup,pushup,-0.726318359,0.677612305,-0.104125977,-0.518292683,3.140243902,1.524390244,0.998768749,3.528955183,-1.418322985,1.428405189
pushup,pushup,-0.730224609,0.661499023,-0.105102539,0.335365854,6.12804878,-0.274390244,0.99088621,6.143349421,-1.413228029,1.427846272
pushup,pushup,-0.729003906,0.664916992,-0.109008789,-1.219512195,3.140243902,0.457317073,0.99269543,3.399629489,-1.408298425,1.422364948
pushup,pushup,-0.734008789,0.661743164,-0.104492188,-1.463414634,2.073170732,-1.036585366,0.993776401,2.741191073,-1.414184976,1.429388246
pushup,pushup,-0.746459961,0.652099609,-0.092895508,-1.432926829,2.012195122,0.030487805,0.995522952,2.470452997,-1.429292405,1.446984799
pushup,pushup,-0.735229492,0.656616211,-0.087402344,1.12804878,5.335365854,3.658536585,0.989619333,6.566849533,-1.438463994,1.452473979
pushup,pushup,-0.728393555,0.674926758,-0.091308594,1.920731707,5.091463415,1.524390244,0.997206377,5.651192406,-1.43632607,1.446090701
pushup,pushup,-0.731811523,0.643066406,-0.097290039,-1.859756098,5.853658537,0.06097561,0.979054574,6.142290211,-1.420644211,1.438627229
pushup,pushup,-0.732421875,0.665405273,-0.09753418,0.12195122,4.512195122,4.603658537,0.99434345,6.447359835,-1.42525415,1.438408553
pushup,pushup,-0.730957031,0.668212891,-0.095825195,0.487804878,5.243902439,2.652439024,0.994981968,5.896770232,-1.42836223,1.440444157
pushup,pushup,-0.727416992,0.665039063,-0.096069336,0.396341463,5.335365854,0.914634146,0.990273575,5.4276856,-1.427332077,1.439487112
pushup,pushup,-0.733642578,0.654174805,-0.099853516,0.701219512,5.792682927,2.43902439,0.988001433,6.324217285,-1.419325068,1.435521074
pushup,pushup,-0.726196289,0.667236328,-0.103149414,0.12195122,4.573170732,2.926829268,0.991567027,5.430938428,-1.417418456,1.429699498
pushup,pushup,-0.729492188,0.664428711,-0.108520508,0.091463415,4.512195122,2.469512195,0.992673695,5.144585586,-1.40889681,1.423117637
pushup,pushup,-0.72644043,0.662963867,-0.103759766,0.731707317,3.658536585,2.62195122,0.988940279,4.560144048,-1.415546835,1.428922797
pushup,pushup,-0.715942383,0.667114258,-0.100708008,-1.646341463,5.884146341,3.018292683,0.983746427,6.814962149,-1.420966992,1.431048266
pushup,pushup,-0.719116211,0.672119141,-0.106323242,-2.865853659,5.609756098,3.87195122,0.990038836,7.394219832,-1.413905344,1.424007129
pushup,pushup,-0.726074219,0.674804688,-0.105834961,0.670731707,5.12195122,2.804878049,0.996868185,5.878061432,-1.415225732,1.426052422
pushup,pushup,-0.723754883,0.666992188,-0.103515625,0.518292683,3.323170732,1.036585366,0.989654078,3.51946022,-1.416827012,1.428733987
pushup,pushup,-0.722167969,0.665039063,-0.099365234,-0.030487805,3.140243902,1.432926829,0.986750719,3.45186045,-1.422480876,1.434061923
pushup,pushup,-0.725585938,0.676391602,-0.103149414,0.914634146,5.12195122,2.804878049,0.99730655,5.910861256,-1.419462734,1.429582381
pushup,pushup,-0.722900391,0.689331055,-0.112304688,3.262195122,5.274390244,1.402439024,1.005173926,6.35829731,-1.409296848,1.416675403
pushup,pushup,-0.737426758,0.648681641,-0.098510742,4.207317073,10.09146341,-2.835365854,0.987061529,11.29506309,-1.420084871,1.437995416
pushup,pushup,-0.721801758,0.652832031,-0.098144531,9.695121951,3.109756098,2.62195122,0.978171655,10.51382903,-1.421577228,1.435653525
pushup,pushup,-0.736083984,0.677246094,-0.170043945,9.756097561,8.719512195,3.292682927,1.014591961,13.49270519,-1.324800069,1.343767368
pushup,pushup,-0.698608398,0.67590332,-0.247314453,7.164634146,13.20121951,1.798780488,1.003027133,15.12745154,-1.220025645,1.230553481
pushup,pushup,-0.71862793,0.688964844,-0.252197266,8.170731707,9.268292683,2.530487805,1.026986913,12.61211618,-1.219893069,1.233281883
pushup,pushup,-0.734619141,0.741821289,-0.243286133,-0.640243902,13.50609756,1.097560976,1.071985191,13.56573712,-1.253891462,1.250991198
pushup,pushup,-0.762817383,0.729736328,-0.236206055,-12.68292683,18.41463415,0.945121951,1.08175726,22.37964788,-1.257752583,1.270510418
pushup,pushup,-0.689941406,0.513305664,-0.067749023,-5.12195122,-4.634146341,-7.896341463,0.862607546,10.49103928,-1.439569092,1.472914795
pushup,pushup,-0.721191406,0.49230957,-0.028320313,-8.902439024,-10.6097561,-3.445121951,0.873663435,14.2719729,-1.513334239,1.531547704
pushup,pushup,-0.698974609,0.584594727,-0.05065918,-0.304878049,-1.768292683,4.93902439,0.912624157,5.254880737,-1.484355347,1.498446407
pushup,pushup,-0.737182617,0.798950195,-0.140380859,-0.640243902,-0.823170732,23.04878049,1.096114232,23.07236018,-1.396865095,1.382620477
pushup,pushup,-0.685424805,0.697021484,-0.142700195,-2.286585366,8.353658537,9.329268293,0.98793191,12.72978124,-1.36885825,1.365536068
pushup,pushup,-0.651855469,0.622070313,-0.122924805,1.859756098,7.317073171,3.75,0.909394048,8.429754002,-1.375703779,1.38440837
pushup,pushup,-0.638305664,0.588745117,-0.122802734,1.158536585,10.42682927,5.670731707,0.877003674,11.92552614,-1.365160836,1.380730016
