ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
squat,squat,-0.972045898,0.085449219,0.160766602,2.408536585,2.62195122,-2.43902439,0.988949289,4.315613126,0.488537489,-1.406890137
squat,squat,-0.934570313,0.031860352,0.186157227,27.62195122,0.457317073,-2.62195122,0.953462776,27.7498821,0.169505256,-1.374179563
squat,squat,-0.836547852,0.060791016,0.167724609,48.35365854,0.609756098,-0.670731707,0.855359223,48.36215439,0.347718744,-1.372923762
squat,squat,-0.756591797,0.093261719,0.146850586,35.48780488,-2.865853659,0.853658537,0.776333685,35.61356687,0.565814306,-1.379085171
squat,squat,-0.822998047,0.120239258,0.147094727,20.97560976,7.591463415,4.725609756,0.844642009,22.80214703,0.685277431,-1.393933467
squat,squat,-0.886108398,0.16003418,0.140380859,4.725609756,2.37804878,4.817073171,0.911320919,7.154767467,0.850725635,-1.413678078
squat,squat,-0.950561523,0.179077148,0.139770508,-20.39634146,0.731707317,7.195121951,0.977328823,21.64060813,0.908056485,-1.424802554
squat,squat,-1.029907227,0.154418945,0.155639648,-38.7195122,3.993902439,5.609756098,1.052985188,39.32710573,0.781461176,-1.420811141
squat,squat,-1.027099609,0.142089844,0.159179688,-25.70121951,3.87195122,4.664634146,1.049028743,26.40650492,0.728732797,-1.417039757
squat,squat,-0.971191406,0.137084961,0.152709961,-12.10365854,2.530487805,-5.396341463,0.992635565,13.49156847,0.731532881,-1.414833502
squat,squat,-0.970825195,0.126831055,0.144042969,-8.841463415,1.524390244,-12.34756098,0.989614093,15.26294543,0.72194134,-1.423499243
squat,squat,-1.035644531,0.118164063,0.168579102,-8.384146341,0.274390244,-5.701219512,1.055907787,10.14263791,0.611357462,-1.409434568
squat,squat,-1.068847656,0.129394531,0.186157227,-10.27439024,2.042682927,-3.719512195,1.092626546,11.11622325,0.607417637,-1.398359714
squat,squat,-1.037231445,0.128051758,0.205444336,-1.707317073,0.274390244,6.646341463,1.065107365,6.867610679,0.557369962,-1.375257312
squat,squat,-1.021118164,0.130371094,0.205078125,2.256097561,2.56097561,2.56097561,1.04963611,4.266985863,0.566266898,-1.372596262
squat,squat,-1.038208008,0.154541016,0.171020508,3.719512195,2.865853659,0.335365854,1.063488038,4.707478988,0.734822658,-1.407535843
squat,squat,-1.047485352,0.138305664,0.146118164,-1.25,3.079268293,-6.31097561,1.066632335,7.132517534,0.757937257,-1.432196466
squat,squat,-1.157348633,0.136108398,0.142211914,0.06097561,2.042682927,-2.774390244,1.173970009,3.445796394,0.763471852,-1.448531885
squat,squat,-1.228637695,0.132080078,0.155639648,-4.268292683,-1.554878049,-1.158536585,1.245479599,4.68808865,0.70369669,-1.444790866
squat,squat,-1.065063477,0.068359375,0.217407227,-5.365853659,-7.225609756,-10.21341463,1.089173593,13.61306946,0.304642279,-1.369436554
squat,squat,-1.080810547,0.023071289,0.221069336,2.652439024,2.134146341,-7.713414634,1.103428917,8.431297569,0.103985801,-1.36903891
squat,squat,-1.033935547,0.058349609,0.179321289,3.536585366,5.792682927,-1.524390244,1.050991683,6.956031711,0.314585885,-1.399068923
squat,squat,-0.945678711,0.062988281,0.133056641,0.243902439,6.006097561,-1.12804878,0.957068345,6.115978283,0.442137571,-1.431014274
squat,squat,-0.78125,0.080444336,0.111206055,-1.707317073,1.920731707,-1.920731707,0.79321475,3.208325446,0.626246105,-1.429402433
squat,squat,-0.728271484,0.048583984,0.118652344,-5.731707317,1.463414634,0.518292683,0.739471525,5.938238667,0.388639151,-1.409292106
squat,squat,-0.776245117,0.020996094,0.135498047,-1.951219512,-1.829268293,-0.274390244,0.788262037,2.688637216,0.153732313,-1.397981744
