ExerciseType,ExerciseSubType,Device:xAcceleration,Device:yAcceleration,Device:zAcceleration,Device:xRotationRate,Device:yRotationRate,Device:zRotationRate,AccRms,RotRms,roll,pitch
situp,situp,-0.654174805,0.411743164,-0.08190918,-182.9878049,109.5731707,-66.06707317,0.777294167,223.2838432,-1.374427226,1.44623464
situp,situp,-0.750610352,0.368164063,-0.001220703,-105.5182927,87.71341463,-61.25,0.836039573,150.2641531,-1.567480689,1.569170048
situp,situp,-0.903198242,0.388183594,0.001586914,-62.04268293,49.08536585,-42.07317073,0.983084984,89.60367928,1.566708299,-1.569039334
situp,situp,-0.946777344,0.397827148,0.034790039,-39.32926829,11.25,-34.23780488,1.027552493,53.34398867,1.483568097,-1.534067107
situp,situp,-0.902832031,0.303222656,0.145507813,-32.4695122,-18.07926829,-41.46341463,0.963442878,55.68073201,1.123381057,-1.411002232
situp,situp,-0.873901367,0.23046875,0.174926758,-19.17682927,-22.59146341,-46.92073171,0.920553537,55.4948652,0.921557368,-1.373239598
situp,situp,-0.916259766,0.093017578,0.210083008,-14.32926829,-20.82317073,-63.96341463,0.944626433,68.77681862,0.416821729,-1.345408794
situp,situp,-0.963745117,-0.053710938,0.236694336,-13.59756098,-18.47560976,-75.42682927,0.993837876,78.83811511,-0.223142215,-1.329964542
situp,situp,-0.926879883,-0.205444336,0.274047852,-13.20121951,-15.45731707,-70.09146341,0.988137601,72.9795457,-0.643287265,-1.28331943
situp,situp,-0.90246582,-0.335693359,0.289428711,-8.567073171,-8.75,-62.5304878,1.005437003,63.71827954,-0.859272464,-1.260450573
situp,situp,-0.909179688,-0.420166016,0.305053711,-12.01219512,-9.207317073,-57.13414634,1.046998067,59.10480689,-0.94281243,-1.247073388
situp,situp,-0.863769531,-0.544311523,0.322631836,-16.92073171,-6.463414634,-60.57926829,1.070730656,63.22922297,-1.035736754,-1.213327235
situp,situp,-0.782836914,-0.597167969,0.289672852,-17.10365854,-8.87195122,-53.04878049,1.026330151,56.43952308,-1.119157682,-1.216390348
situp,situp,-0.693237305,-0.623168945,0.291870117,-7.012195122,-8.292682927,-37.43902439,0.976783323,38.98230391,-1.132775992,-1.172297498
situp,situp,-0.696655273,-0.702148438,0.315307617,-5.152439024,-7.195121951,-41.70731707,1.038152152,42.63587345,-1.148723385,-1.145780627
situp,situp,-0.639282227,-0.782226563,0.327636719,-0.335365854,-7.195121951,-34.69512195,1.062029181,35.43492257,-1.174145074,-1.097193126
situp,situp,-0.585693359,-0.758300781,0.31640625,2.195121951,-2.713414634,-19.78658537,1.009043954,20.09204171,-1.175502373,-1.075488804
situp,situp,-0.580932617,-0.765136719,0.317993164,0.579268293,-0.640243902,-7.774390244,1.011946914,7.822186886,-1.176911815,-1.069963853
situp,situp,-0.564941406,-0.787353516,0.330078125,0.487804878,-0.182926829,1.37195122,1.023736255,1.467537384,-1.173827472,-1.042023554
situp,situp,-0.609985352,-0.828491211,0.353637695,4.359756098,6.585365854,16.43292683,1.087905987,18.23226812,-1.167363615,-1.045401234
