time,eSense Name,Ax,Ay,Az,Gx,Gy,Gz,title,label
1.58E+12,eSense-0869,-0.827026367,0.51550293,-0.167724609,-0.884146341,3.597560976,-1.585365854,squat-1,break
1.58E+12,eSense-0869,-0.827026367,0.51550293,-0.167724609,-0.884146341,3.597560976,-1.585365854,squat-1,break
1.58E+12,eSense-0869,-0.827026367,0.51550293,-0.167724609,-0.884146341,3.597560976,-1.585365854,squat-1,break
1.58E+12,eSense-0869,-0.827758789,0.524414063,-0.174194336,0.182926829,4.237804878,0.701219512,squat-1,break
1.58E+12,eSense-0869,-0.827758789,0.524414063,-0.174194336,0.182926829,4.237804878,0.701219512,squat-1,break
1.58E+12,eSense-0869,-0.829589844,0.517700195,-0.158569336,0.213414634,6.463414634,0.152439024,squat-1,break
1.58E+12,eSense-0869,-0.831420898,0.51574707,-0.17175293,-1.067073171,6.25,1.859756098,squat-1,break
1.58E+12,eSense-0869,-0.829589844,0.517700195,-0.158569336,0.213414634,6.463414634,0.152439024,squat-1,break
1.58E+12,eSense-0869,-0.831420898,0.51574707,-0.17175293,-1.067073171,6.25,1.859756098,squat-1,break
1.58E+12,eSense-0869,-0.840576172,0.560424805,-0.168579102,-5.274390244,2.103658537,-1.25,squat-1,break
1.58E+12,eSense-0869,-0.840576172,0.560424805,-0.168579102,-5.274390244,2.103658537,-1.25,squat-1,break
1.58E+12,eSense-0869,-0.80090332,0.546020508,-0.184448242,-22.25609756,0.548780488,0.243902439,squat-1,break
1.58E+12,eSense-0869,-0.80090332,0.546020508,-0.184448242,-22.25609756,0.548780488,0.243902439,squat-1,break
1.58E+12,eSense-0869,-0.80847168,0.523681641,-0.130249023,-11.79878049,8.048780488,-0.518292683,squat-1,break
1.58E+12,eSense-0869,-0.821777344,0.55065918,-0.1484375,-5.762195122,10.51829268,-0.335365854,squat-1,break
1.58E+12,eSense-0869,-0.80847168,0.523681641,-0.130249023,-11.79878049,8.048780488,-0.518292683,squat-1,break
1.58E+12,eSense-0869,-0.821777344,0.55065918,-0.1484375,-5.762195122,10.51829268,-0.335365854,squat-1,break
1.58E+12,eSense-0869,-0.818603516,0.59777832,-0.172851563,-20,5.274390244,-13.87195122,squat-1,break
1.58E+12,eSense-0869,-0.818603516,0.59777832,-0.172851563,-20,5.274390244,-13.87195122,squat-1,break
1.58E+12,eSense-0869,-0.855957031,0.524047852,-0.096191406,-44.87804878,-4.054878049,-28.65853659,squat-1,break
1.58E+12,eSense-0869,-0.855957031,0.524047852,-0.096191406,-44.87804878,-4.054878049,-28.65853659,squat-1,break
1.58E+12,eSense-0869,-0.869628906,0.444335938,-0.036987305,-35.24390244,-9.756097561,-28.04878049,squat-1,break
1.58E+12,eSense-0869,-0.869628906,0.444335938,-0.036987305,-35.24390244,-9.756097561,-28.04878049,squat-1,break
1.58E+12,eSense-0869,-0.887451172,0.408325195,-0.000976563,-21.18902439,-5.518292683,-25.24390244,squat-1,break
1.58E+12,eSense-0869,-0.887451172,0.408325195,-0.000976563,-21.18902439,-5.518292683,-25.24390244,squat-1,break
1.58E+12,eSense-0869,-0.907714844,0.366943359,0.03515625,-6.25,-5.304878049,-18.38414634,squat-1,break
1.58E+12,eSense-0869,-0.907714844,0.366943359,0.03515625,-6.25,-5.304878049,-18.38414634,squat-1,break
1.58E+12,eSense-0869,-0.893554688,0.363769531,0.036743164,4.024390244,-3.109756098,-6.920731707,squat-1,break
1.58E+12,eSense-0869,-0.893554688,0.363769531,0.036743164,4.024390244,-3.109756098,-6.920731707,squat-1,break
1.58E+12,eSense-0869,-0.904296875,0.382202148,0.018066406,1.067073171,4.024390244,-5.640243902,squat-1,break
1.58E+12,eSense-0869,-0.904296875,0.382202148,0.018066406,1.067073171,4.024390244,-5.640243902,squat-1,break
1.58E+12,eSense-0869,-0.939575195,0.354980469,0.014892578,-4.695121951,1.676829268,-14.63414634,squat-1,break
1.58E+12,eSense-0869,-0.939575195,0.354980469,0.014892578,-4.695121951,1.676829268,-14.63414634,squat-1,break
1.58E+12,eSense-0869,-0.947021484,0.325073242,0.03515625,4.664634146,-11.09756098,-18.59756098,squat-1,break
1.58E+12,eSense-0869,-0.931274414,0.301025391,0.048950195,16.70731707,-19.3597561,-24.32926829,squat-1,break
1.58E+12,eSense-0869,-0.947021484,0.325073242,0.03515625,4.664634146,-11.09756098,-18.59756098,squat-1,break
1.58E+12,eSense-0869,-0.931274414,0.301025391,0.048950195,16.70731707,-19.3597561,-24.32926829,squat-1,break
1.58E+12,eSense-0869,-0.943603516,0.218017578,0.105834961,18.50609756,-19.75609756,-38.23170732,squat-1,break
1.58E+12,eSense-0869,-0.940673828,0.155029297,0.156982422,9.085365854,-17.07317073,-40.21341463,squat-1,break
1.58E+12,eSense-0869,-0.943603516,0.218017578,0.105834961,18.50609756,-19.75609756,-38.23170732,squat-1,break
1.58E+12,eSense-0869,-0.940673828,0.155029297,0.156982422,9.085365854,-17.07317073,-40.21341463,squat-1,break
1.58E+12,eSense-0869,-0.951538086,0.126953125,0.161376953,-2.164634146,-10.54878049,-21.2195122,squat-1,break
1.58E+12,eSense-0869,-0.951538086,0.126953125,0.161376953,-2.164634146,-10.54878049,-21.2195122,squat-1,break
1.58E+12,eSense-0869,-0.958984375,0.134399414,0.128295898,-2.62195122,-7.073170732,7.012195122,squat-1,break
1.58E+12,eSense-0869,-0.958984375,0.134399414,0.128295898,-2.62195122,-7.073170732,7.012195122,squat-1,break
1.58E+12,eSense-0869,-0.955200195,0.159790039,0.162109375,-10.70121951,-1.097560976,-3.140243902,squat-1,break
